The Tenant of Wildfell Hall,1848,Ann Brontë (1820-1849)
Villette,1853,Charlotte Brontë (1816-1855)
Wuthering Heights,1847,Emily Brontë (1818-1848)
Thief of Time,1996,Terry Pratchett (1948-2015)
A Wild Sheep Chase,1982,Haruki Murakami (1949-)
